Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,StateAttributeTypeID,AgeMin,AgeMax,Value
,,Northern Basin and Range,,,Developed:All,Albedo,,,0.1702
,,Northern Basin and Range,,,Developed:Transportation,Albedo,,,0.1702
,,Northern Basin and Range,,,Forest:All,Albedo,1,5,0.1346
,,Northern Basin and Range,,,Forest:All,Albedo,6,10,0.1449
,,Northern Basin and Range,,,Forest:All,Albedo,11,,0.1089
,,Northern Basin and Range,,,Grassland:All,Albedo,,,0.1449
,,Northern Basin and Range,,,Shrubland:All,Albedo,,,0.1449
,,Northern Basin and Range,,,Water:All,Albedo,,,0.0672
,,Northern Basin and Range,,,Wetland:All,Albedo,,,0.1509
,,Sierra Nevada,,,Agriculture:Annual,Albedo,,,0.173
,,Sierra Nevada,,,Agriculture:Perennial,Albedo,,,0.173
,,Sierra Nevada,,,Barren:All,Albedo,,,0.1687
,,Sierra Nevada,,,Developed:All,Albedo,,,0.141
,,Sierra Nevada,,,Developed:Transportation,Albedo,,,0.141
,,Sierra Nevada,,,Forest:All,Albedo,1,5,0.1346
,,Sierra Nevada,,,Forest:All,Albedo,6,10,0.1224
,,Sierra Nevada,,,Forest:All,Albedo,11,,0.1003
,,Sierra Nevada,,,Grassland:All,Albedo,,,0.1224
,,Sierra Nevada,,,Shrubland:All,Albedo,,,0.1224
,,Sierra Nevada,,,Water:All,Albedo,,,0.046
,,Sierra Nevada,,,Wetland:All,Albedo,,,0.1324
,,Sonoran Basin and Range,,,Agriculture:Annual,Albedo,,,0.2268
,,Sonoran Basin and Range,,,Agriculture:Perennial,Albedo,,,0.2268
,,Sonoran Basin and Range,,,Barren:All,Albedo,,,0.3647
,,Sonoran Basin and Range,,,Developed:All,Albedo,,,0.1907
,,Sonoran Basin and Range,,,Developed:Transportation,Albedo,,,0.1907
,,Sonoran Basin and Range,,,Forest:All,Albedo,1,5,0.1346
,,Sonoran Basin and Range,,,Forest:All,Albedo,6,10,0.1894
,,Sonoran Basin and Range,,,Forest:All,Albedo,11,,0.1257
,,Sonoran Basin and Range,,,Grassland:All,Albedo,,,0.1894
,,Sonoran Basin and Range,,,Shrubland:All,Albedo,,,0.1894
,,Sonoran Basin and Range,,,Water:All,Albedo,,,0.0856
,,Sonoran Basin and Range,,,Wetland:All,Albedo,,,0.1712
,,Southern California Mountains,,,Agriculture:Annual,Albedo,,,0.1828
,,Southern California Mountains,,,Agriculture:Perennial,Albedo,,,0.1828
,,Southern California Mountains,,,Barren:All,Albedo,,,0.1541
,,Southern California Mountains,,,Developed:All,Albedo,,,0.1628
,,Southern California Mountains,,,Developed:Transportation,Albedo,,,0.1628
,,Southern California Mountains,,,Forest:All,Albedo,1,5,0.1346
,,Southern California Mountains,,,Forest:All,Albedo,6,10,0.1375
,,Southern California Mountains,,,Forest:All,Albedo,11,,0.1075
,,Southern California Mountains,,,Grassland:All,Albedo,,,0.1375
,,Southern California Mountains,,,Shrubland:All,Albedo,,,0.1375
,,Southern California Mountains,,,Water:All,Albedo,,,0.0559
,,Southern California Mountains,,,Wetland:All,Albedo,,,0.1628
