Timestep,EcoregionID,EcoregionName,Flux,Mean,Lower,Upper
2002,78,Klamath Mtns.,NEP,5.9,5.9,5.9
2002,78,Klamath Mtns.,NPP,30.7,30.7,30.7
2002,78,Klamath Mtns.,Rh,24.8,24.8,24.8
2002,80,Northern B&R,LULCC,0.2,0.2,0.2
2002,80,Northern B&R,NECB,-0.3,-0.3,-0.2
2002,80,Northern B&R,NEP,-0.1,-0.1,-0.1
2002,80,Northern B&R,NPP,0.7,0.7,0.7
2002,80,Northern B&R,Rh,0.8,0.8,0.8
2002,81,Sonoran B&R,LULCC,0.3,0.3,0.3
2002,81,Sonoran B&R,NECB,-1.4,-1.4,-1.4
2002,81,Sonoran B&R,NEP,-1.1,-1.1,-1.1
2002,81,Sonoran B&R,NPP,0.4,0.4,0.4
2002,81,Sonoran B&R,Rh,1.5,1.5,1.5
2003,1,Coast Range,LULCC,2.9,2.7,3.1
2003,1,Coast Range,NECB,-0.2,-0.4,-0
2003,1,Coast Range,NEP,2.6,2.6,2.6
2003,1,Coast Range,NPP,14.1,14.1,14.2
2003,1,Coast Range,Rh,11.5,11.5,11.5
2003,4,Cascades,LULCC,0.2,0.1,0.2
2003,4,Cascades,NECB,0.1,0,0.1
2003,4,Cascades,NEP,0.2,0.2,0.2
2003,4,Cascades,NPP,1.1,1.1,1.1
2003,4,Cascades,Rh,0.9,0.9,0.9
2003,5,Sierra Nevada,LULCC,4.7,4.5,4.9
2003,5,Sierra Nevada,NECB,-2.5,-2.7,-2.3
2003,5,Sierra Nevada,NEP,2.2,2.2,2.2
2003,5,Sierra Nevada,NPP,20.3,20.3,20.3
2003,5,Sierra Nevada,Rh,18.1,18.1,18.1
2003,6,Oak Woodlands,LULCC,7.4,7.1,7.6
2003,6,Oak Woodlands,NECB,-4.1,-4.3,-3.9
2003,6,Oak Woodlands,NEP,3.2,3.2,3.2
2003,6,Oak Woodlands,NPP,36.5,36.5,36.5
2003,6,Oak Woodlands,Rh,33.3,33.3,33.3
2003,7,Central Valley,LULCC,12.6,12.5,12.7
2003,7,Central Valley,NECB,-0.5,-0.6,-0.4
2003,7,Central Valley,NEP,12.1,12.1,12.2
2003,7,Central Valley,NPP,26.5,26.5,26.5
2003,7,Central Valley,Rh,14.4,14.4,14.4
2003,8,SoCal Mtns.,LULCC,1.6,1.6,1.7
2003,8,SoCal Mtns.,NECB,-1.1,-1.2,-1.1
2003,8,SoCal Mtns.,NEP,0.5,0.5,0.5
2003,8,SoCal Mtns.,NPP,7,7,7
2003,8,SoCal Mtns.,Rh,6.5,6.5,6.5
2003,9,East Cascades,LULCC,1.7,1.6,1.8
2003,9,East Cascades,NECB,0.3,0.2,0.4
2003,9,East Cascades,NEP,2,2,2
2003,9,East Cascades,NPP,8.7,8.7,8.7
2003,9,East Cascades,Rh,6.7,6.7,6.7
2003,13,Central B&R,LULCC,0.2,0.2,0.2
2003,13,Central B&R,NECB,-0.3,-0.3,-0.3
2003,13,Central B&R,NEP,-0,-0,-0
2003,13,Central B&R,NPP,1.7,1.7,1.7
2003,13,Central B&R,Rh,1.7,1.7,1.7
2003,14,Mojave B&R,LULCC,0.3,0.3,0.3
2003,14,Mojave B&R,NECB,0.8,0.8,0.8
2003,14,Mojave B&R,NEP,1.1,1.1,1.1
2003,14,Mojave B&R,NPP,6.5,6.5,6.5
2003,14,Mojave B&R,Rh,5.4,5.4,5.4
2003,78,Klamath Mtns.,LULCC,5.1,4.9,5.3
2003,78,Klamath Mtns.,NECB,1.3,1,1.5
2003,78,Klamath Mtns.,NEP,6.4,6.4,6.4
2003,78,Klamath Mtns.,NPP,30.3,30.3,30.4
2003,78,Klamath Mtns.,Rh,24,23.9,24
2003,80,Northern B&R,LULCC,0.2,0.2,0.2
2003,80,Northern B&R,NECB,0,0,0.1
2003,80,Northern B&R,NEP,0.2,0.2,0.2
2003,80,Northern B&R,NPP,1.1,1.1,1.1
2003,80,Northern B&R,Rh,0.8,0.8,0.8
2003,81,Sonoran B&R,LULCC,0.6,0.5,0.6
2003,81,Sonoran B&R,NECB,0,-0,0.1
2003,81,Sonoran B&R,NEP,0.6,0.6,0.6
2003,81,Sonoran B&R,NPP,2.1,2.1,2.1
2003,81,Sonoran B&R,Rh,1.5,1.5,1.5
2004,1,Coast Range,LULCC,2.7,2.5,3
2004,1,Coast Range,NECB,-0.7,-1,-0.5
2004,1,Coast Range,NEP,2,2,2
2004,1,Coast Range,NPP,13.5,13.5,13.6
2004,1,Coast Range,Rh,11.5,11.5,11.6
2004,4,Cascades,LULCC,0.2,0.1,0.2
2004,4,Cascades,NECB,0.1,0.1,0.1
2004,4,Cascades,NEP,0.3,0.3,0.3
2004,4,Cascades,NPP,1.1,1.1,1.1
2004,4,Cascades,Rh,0.9,0.9,0.9
2004,5,Sierra Nevada,LULCC,4.8,4.6,4.9
2004,5,Sierra Nevada,NECB,-2.6,-2.7,-2.4
2004,5,Sierra Nevada,NEP,2.2,2.2,2.2
2004,5,Sierra Nevada,NPP,19.4,19.4,19.4
2004,5,Sierra Nevada,Rh,17.2,17.2,17.2
2004,6,Oak Woodlands,LULCC,6.5,6.3,6.7
2004,6,Oak Woodlands,NECB,2.6,2.4,2.8
2004,6,Oak Woodlands,NEP,9,9,9.1
2004,6,Oak Woodlands,NPP,41.2,41.2,41.3
2004,6,Oak Woodlands,Rh,32.2,32.2,32.2
2004,7,Central Valley,LULCC,13.7,13.6,13.8
2004,7,Central Valley,NECB,2.3,2.2,2.4
2004,7,Central Valley,NEP,16,16,16.1
2004,7,Central Valley,NPP,29.8,29.8,29.9
2004,7,Central Valley,Rh,13.8,13.8,13.8
2004,8,SoCal Mtns.,LULCC,0.7,0.7,0.8
2004,8,SoCal Mtns.,NECB,1.1,1.1,1.2
2004,8,SoCal Mtns.,NEP,1.9,1.9,1.9
2004,8,SoCal Mtns.,NPP,7.9,7.9,7.9
2004,8,SoCal Mtns.,Rh,6,6,6.1
2004,9,East Cascades,LULCC,1.7,1.6,1.8
2004,9,East Cascades,NECB,-0.2,-0.3,-0.2
2004,9,East Cascades,NEP,1.5,1.5,1.5
2004,9,East Cascades,NPP,7.9,7.9,7.9
2004,9,East Cascades,Rh,6.4,6.4,6.4
2004,13,Central B&R,LULCC,0.3,0.3,0.3
2004,13,Central B&R,NECB,0.3,0.3,0.4
2004,13,Central B&R,NEP,0.6,0.6,0.6
2004,13,Central B&R,NPP,2.2,2.2,2.3
2004,13,Central B&R,Rh,1.6,1.6,1.6
2004,14,Mojave B&R,LULCC,0.4,0.4,0.4
2004,14,Mojave B&R,NECB,3.3,3.3,3.3
2004,14,Mojave B&R,NEP,3.7,3.7,3.7
2004,14,Mojave B&R,NPP,8.8,8.8,8.8
2004,14,Mojave B&R,Rh,5.1,5.1,5.1
2004,78,Klamath Mtns.,LULCC,5.3,5.1,5.5
2004,78,Klamath Mtns.,NECB,0.2,-0,0.4
2004,78,Klamath Mtns.,NEP,5.4,5.4,5.5
2004,78,Klamath Mtns.,NPP,29.5,29.5,29.5
2004,78,Klamath Mtns.,Rh,24.1,24.1,24.1
2004,80,Northern B&R,LULCC,0.2,0.2,0.2
2004,80,Northern B&R,NECB,-0.2,-0.2,-0.1
2004,80,Northern B&R,NEP,0.1,0.1,0.1
2004,80,Northern B&R,NPP,0.8,0.8,0.8
2004,80,Northern B&R,Rh,0.8,0.8,0.8
2004,81,Sonoran B&R,LULCC,0.9,0.9,0.9
2004,81,Sonoran B&R,NECB,1,0.9,1
2004,81,Sonoran B&R,NEP,1.8,1.8,1.8
2004,81,Sonoran B&R,NPP,3.2,3.2,3.2
2004,81,Sonoran B&R,Rh,1.4,1.4,1.4
2005,1,Coast Range,LULCC,2.7,2.5,3
2005,1,Coast Range,NECB,1.7,1.5,2
2005,1,Coast Range,NEP,4.5,4.4,4.5
2005,1,Coast Range,NPP,15.5,15.5,15.6
2005,1,Coast Range,Rh,11.1,11,11.1
2005,4,Cascades,LULCC,0.2,0.2,0.2
2005,4,Cascades,NECB,0.2,0.2,0.3
2005,4,Cascades,NEP,0.4,0.4,0.4
2005,4,Cascades,NPP,1.2,1.2,1.2
2005,4,Cascades,Rh,0.8,0.8,0.8
2005,5,Sierra Nevada,LULCC,4.4,4.2,4.6
2005,5,Sierra Nevada,NECB,2.4,2.2,2.6
2005,5,Sierra Nevada,NEP,6.8,6.8,6.8
2005,5,Sierra Nevada,NPP,23.4,23.4,23.4
2005,5,Sierra Nevada,Rh,16.6,16.6,16.6
2005,6,Oak Woodlands,LULCC,6.6,6.4,6.8
2005,6,Oak Woodlands,NECB,11.2,11,11.4
2005,6,Oak Woodlands,NEP,17.8,17.7,17.8
2005,6,Oak Woodlands,NPP,50.2,50.2,50.3
2005,6,Oak Woodlands,Rh,32.5,32.5,32.5
2005,7,Central Valley,LULCC,16.3,16.2,16.4
2005,7,Central Valley,NECB,6.4,6.3,6.5
2005,7,Central Valley,NEP,22.7,22.6,22.8
2005,7,Central Valley,NPP,36.7,36.6,36.8
2005,7,Central Valley,Rh,14,14,14.1
2005,8,SoCal Mtns.,LULCC,0.6,0.6,0.7
2005,8,SoCal Mtns.,NECB,4.3,4.3,4.4
2005,8,SoCal Mtns.,NEP,4.9,4.9,5
2005,8,SoCal Mtns.,NPP,11,11,11
2005,8,SoCal Mtns.,Rh,6,6,6.1
2005,9,East Cascades,LULCC,2,1.9,2.1
2005,9,East Cascades,NECB,2.1,2,2.2
2005,9,East Cascades,NEP,4.1,4.1,4.1
2005,9,East Cascades,NPP,10.3,10.3,10.3
2005,9,East Cascades,Rh,6.2,6.2,6.2
2005,13,Central B&R,LULCC,0.3,0.2,0.3
2005,13,Central B&R,NECB,0.9,0.9,0.9
2005,13,Central B&R,NEP,1.1,1.1,1.1
2005,13,Central B&R,NPP,2.8,2.7,2.8
2005,13,Central B&R,Rh,1.6,1.6,1.6
2005,14,Mojave B&R,LULCC,0.6,0.6,0.6
2005,14,Mojave B&R,NECB,4.3,4.3,4.3
2005,14,Mojave B&R,NEP,4.9,4.9,4.9
2005,14,Mojave B&R,NPP,10,10,10
2005,14,Mojave B&R,Rh,5.1,5.1,5.1
2005,78,Klamath Mtns.,LULCC,5.6,5.4,5.9
2005,78,Klamath Mtns.,NECB,3.8,3.6,4.1
2005,78,Klamath Mtns.,NEP,9.5,9.4,9.5
2005,78,Klamath Mtns.,NPP,32.3,32.3,32.4
2005,78,Klamath Mtns.,Rh,22.9,22.9,22.9
2005,80,Northern B&R,LULCC,0.2,0.2,0.3
2005,80,Northern B&R,NECB,0.2,0.1,0.2
2005,80,Northern B&R,NEP,0.4,0.4,0.4
2005,80,Northern B&R,NPP,1.1,1.1,1.1
2005,80,Northern B&R,Rh,0.8,0.8,0.8
2005,81,Sonoran B&R,LULCC,1,1,1.1
2005,81,Sonoran B&R,NECB,1.1,1.1,1.1
2005,81,Sonoran B&R,NEP,2.1,2.1,2.1
2005,81,Sonoran B&R,NPP,3.6,3.6,3.6
2005,81,Sonoran B&R,Rh,1.5,1.5,1.5
2006,1,Coast Range,LULCC,2.8,2.6,3
2006,1,Coast Range,NECB,1.2,1,1.4
2006,1,Coast Range,NEP,4,4,4
2006,1,Coast Range,NPP,14.9,14.8,14.9
2006,1,Coast Range,Rh,10.9,10.9,10.9
2006,4,Cascades,LULCC,0.2,0.2,0.3
2006,4,Cascades,NECB,0.1,0.1,0.2
2006,4,Cascades,NEP,0.3,0.3,0.3
2006,4,Cascades,NPP,1.2,1.1,1.2
2006,4,Cascades,Rh,0.8,0.8,0.8
2006,5,Sierra Nevada,LULCC,4.2,4,4.3
2006,5,Sierra Nevada,NECB,1.6,1.4,1.7
2006,5,Sierra Nevada,NEP,5.7,5.7,5.7
2006,5,Sierra Nevada,NPP,22.2,22.2,22.3
2006,5,Sierra Nevada,Rh,16.5,16.5,16.5
2006,6,Oak Woodlands,LULCC,6.6,6.3,6.8
2006,6,Oak Woodlands,NECB,2.2,2,2.4
2006,6,Oak Woodlands,NEP,8.8,8.7,8.8
2006,6,Oak Woodlands,NPP,42,41.9,42
2006,6,Oak Woodlands,Rh,33.2,33.2,33.2
2006,7,Central Valley,LULCC,16.4,16.2,16.5
2006,7,Central Valley,NECB,4,3.9,4.1
2006,7,Central Valley,NEP,20.4,20.3,20.5
2006,7,Central Valley,NPP,35,34.9,35.1
2006,7,Central Valley,Rh,14.6,14.6,14.7
2006,8,SoCal Mtns.,LULCC,2.1,2,2.2
2006,8,SoCal Mtns.,NECB,-1.4,-1.5,-1.3
2006,8,SoCal Mtns.,NEP,0.7,0.7,0.7
2006,8,SoCal Mtns.,NPP,7.1,7.1,7.1
2006,8,SoCal Mtns.,Rh,6.4,6.4,6.4
2006,9,East Cascades,LULCC,1.9,1.8,2
2006,9,East Cascades,NECB,0,-0.1,0.1
2006,9,East Cascades,NEP,1.9,1.9,1.9
2006,9,East Cascades,NPP,8.2,8.2,8.2
2006,9,East Cascades,Rh,6.3,6.3,6.3
2006,13,Central B&R,LULCC,0.3,0.3,0.3
2006,13,Central B&R,NECB,0.2,0.2,0.2
2006,13,Central B&R,NEP,0.5,0.5,0.5
2006,13,Central B&R,NPP,2.1,2.1,2.1
2006,13,Central B&R,Rh,1.6,1.6,1.6
2006,14,Mojave B&R,LULCC,0.3,0.3,0.4
2006,14,Mojave B&R,NECB,-2.6,-2.6,-2.6
2006,14,Mojave B&R,NEP,-2.3,-2.3,-2.3
2006,14,Mojave B&R,NPP,3.1,3.1,3.1
2006,14,Mojave B&R,Rh,5.4,5.4,5.4
2006,78,Klamath Mtns.,LULCC,7.7,7.4,8
2006,78,Klamath Mtns.,NECB,0.4,0.1,0.7
2006,78,Klamath Mtns.,NEP,8.1,8.1,8.2
2006,78,Klamath Mtns.,NPP,31.2,31.1,31.2
2006,78,Klamath Mtns.,Rh,23,23,23.1
2006,80,Northern B&R,LULCC,0.2,0.2,0.3
2006,80,Northern B&R,NECB,0,0,0.1
2006,80,Northern B&R,NEP,0.3,0.3,0.3
2006,80,Northern B&R,NPP,1,1,1
2006,80,Northern B&R,Rh,0.8,0.8,0.8
2006,81,Sonoran B&R,LULCC,0.4,0.4,0.5
2006,81,Sonoran B&R,NECB,-1.4,-1.4,-1.4
2006,81,Sonoran B&R,NEP,-1,-1,-1
2006,81,Sonoran B&R,NPP,0.6,0.6,0.6
2006,81,Sonoran B&R,Rh,1.6,1.6,1.6
2007,1,Coast Range,LULCC,2.8,2.5,3.1
2007,1,Coast Range,NECB,-2,-2.3,-1.7
2007,1,Coast Range,NEP,0.8,0.8,0.8
2007,1,Coast Range,NPP,11.4,11.4,11.4
2007,1,Coast Range,Rh,10.6,10.6,10.6
2007,4,Cascades,LULCC,0.2,0.2,0.2
2007,4,Cascades,NECB,-0.2,-0.2,-0.1
2007,4,Cascades,NEP,0,0,0
2007,4,Cascades,NPP,0.8,0.8,0.9
2007,4,Cascades,Rh,0.8,0.8,0.8
2007,5,Sierra Nevada,LULCC,4.7,4.5,4.8
2007,5,Sierra Nevada,NECB,-6.5,-6.7,-6.4
2007,5,Sierra Nevada,NEP,-1.9,-1.9,-1.9
2007,5,Sierra Nevada,NPP,15.3,15.3,15.4
2007,5,Sierra Nevada,Rh,17.2,17.2,17.2
2007,6,Oak Woodlands,LULCC,6.5,6.3,6.7
2007,6,Oak Woodlands,NECB,-17.8,-18,-17.6
2007,6,Oak Woodlands,NEP,-11.3,-11.3,-11.3
2007,6,Oak Woodlands,NPP,21.7,21.7,21.7
2007,6,Oak Woodlands,Rh,33,33,33
2007,7,Central Valley,LULCC,10.8,10.7,10.9
2007,7,Central Valley,NECB,-8.4,-8.6,-8.3
2007,7,Central Valley,NEP,2.3,2.3,2.4
2007,7,Central Valley,NPP,17.5,17.4,17.6
2007,7,Central Valley,Rh,15.2,15.1,15.2
2007,8,SoCal Mtns.,LULCC,3,2.9,3.2
2007,8,SoCal Mtns.,NECB,-5.8,-5.9,-5.7
2007,8,SoCal Mtns.,NEP,-2.7,-2.7,-2.7
2007,8,SoCal Mtns.,NPP,3.6,3.6,3.6
2007,8,SoCal Mtns.,Rh,6.3,6.3,6.3
2007,9,East Cascades,LULCC,1.7,1.6,1.8
2007,9,East Cascades,NECB,-1.5,-1.6,-1.4
2007,9,East Cascades,NEP,0.2,0.2,0.2
2007,9,East Cascades,NPP,6.4,6.4,6.5
2007,9,East Cascades,Rh,6.3,6.3,6.3
2007,13,Central B&R,LULCC,0.3,0.3,0.3
2007,13,Central B&R,NECB,-0.7,-0.7,-0.7
2007,13,Central B&R,NEP,-0.4,-0.4,-0.4
2007,13,Central B&R,NPP,1.3,1.3,1.3
2007,13,Central B&R,Rh,1.7,1.7,1.7
2007,14,Mojave B&R,LULCC,0.3,0.2,0.3
2007,14,Mojave B&R,NECB,-2.9,-2.9,-2.8
2007,14,Mojave B&R,NEP,-2.6,-2.6,-2.6
2007,14,Mojave B&R,NPP,2.9,2.9,2.9
2007,14,Mojave B&R,Rh,5.5,5.5,5.5
2007,78,Klamath Mtns.,LULCC,5.7,5.4,5.9
2007,78,Klamath Mtns.,NECB,-3.2,-3.5,-3
2007,78,Klamath Mtns.,NEP,2.4,2.4,2.5
2007,78,Klamath Mtns.,NPP,25.4,25.4,25.5
2007,78,Klamath Mtns.,Rh,23,23,23
2007,80,Northern B&R,LULCC,0.2,0.1,0.2
2007,80,Northern B&R,NECB,-0.3,-0.4,-0.3
2007,80,Northern B&R,NEP,-0.2,-0.2,-0.2
2007,80,Northern B&R,NPP,0.6,0.6,0.6
2007,80,Northern B&R,Rh,0.8,0.8,0.8
2007,81,Sonoran B&R,LULCC,0.4,0.4,0.4
2007,81,Sonoran B&R,NECB,-0.7,-0.8,-0.7
2007,81,Sonoran B&R,NEP,-0.3,-0.3,-0.3
2007,81,Sonoran B&R,NPP,1.2,1.2,1.2
2007,81,Sonoran B&R,Rh,1.5,1.5,1.5
2008,1,Coast Range,LULCC,3.4,3.2,3.7
2008,1,Coast Range,NECB,-2,-2.3,-1.8
2008,1,Coast Range,NEP,1.4,1.4,1.5
2008,1,Coast Range,NPP,12.1,12,12.1
2008,1,Coast Range,Rh,10.7,10.6,10.7
2008,4,Cascades,LULCC,0.3,0.2,0.4
2008,4,Cascades,NECB,-0.3,-0.3,-0.2
2008,4,Cascades,NEP,0.1,0.1,0.1
2008,4,Cascades,NPP,0.9,0.9,0.9
2008,4,Cascades,Rh,0.8,0.8,0.8
2008,5,Sierra Nevada,LULCC,5.8,5.6,6
2008,5,Sierra Nevada,NECB,-4.5,-4.7,-4.3
2008,5,Sierra Nevada,NEP,1.3,1.3,1.4
2008,5,Sierra Nevada,NPP,18.3,18.3,18.3
2008,5,Sierra Nevada,Rh,17,17,17
2008,6,Oak Woodlands,LULCC,9.4,9.1,9.6
2008,6,Oak Woodlands,NECB,-6.8,-7,-6.5
2008,6,Oak Woodlands,NEP,2.6,2.5,2.6
2008,6,Oak Woodlands,NPP,34.6,34.6,34.6
2008,6,Oak Woodlands,Rh,32,32,32.1
2008,7,Central Valley,LULCC,11.2,11,11.4
2008,7,Central Valley,NECB,-2.1,-2.3,-1.9
2008,7,Central Valley,NEP,9.1,9,9.2
2008,7,Central Valley,NPP,22.9,22.9,23
2008,7,Central Valley,Rh,13.8,13.8,13.8
2008,8,SoCal Mtns.,LULCC,0.9,0.9,1
2008,8,SoCal Mtns.,NECB,0.3,0.3,0.4
2008,8,SoCal Mtns.,NEP,1.2,1.2,1.2
2008,8,SoCal Mtns.,NPP,7.2,7.2,7.3
2008,8,SoCal Mtns.,Rh,6,6,6
2008,9,East Cascades,LULCC,2.1,1.9,2.2
2008,9,East Cascades,NECB,-1.9,-2.1,-1.8
2008,9,East Cascades,NEP,0.1,0.1,0.1
2008,9,East Cascades,NPP,6.2,6.2,6.2
2008,9,East Cascades,Rh,6.1,6.1,6.1
2008,13,Central B&R,LULCC,0.2,0.2,0.2
2008,13,Central B&R,NECB,0.1,0,0.1
2008,13,Central B&R,NEP,0.3,0.3,0.3
2008,13,Central B&R,NPP,1.9,1.9,1.9
2008,13,Central B&R,Rh,1.7,1.7,1.7
2008,14,Mojave B&R,LULCC,0.3,0.2,0.3
2008,14,Mojave B&R,NECB,-0.5,-0.6,-0.5
2008,14,Mojave B&R,NEP,-0.3,-0.3,-0.3
2008,14,Mojave B&R,NPP,5.1,5.1,5.1
2008,14,Mojave B&R,Rh,5.3,5.3,5.3
2008,78,Klamath Mtns.,LULCC,14.3,13.8,14.8
2008,78,Klamath Mtns.,NECB,-11,-11.4,-10.5
2008,78,Klamath Mtns.,NEP,3.3,3.3,3.3
2008,78,Klamath Mtns.,NPP,26.3,26.3,26.4
2008,78,Klamath Mtns.,Rh,23,23,23
2008,80,Northern B&R,LULCC,0.2,0.2,0.2
2008,80,Northern B&R,NECB,-0.3,-0.3,-0.3
2008,80,Northern B&R,NEP,-0.1,-0.1,-0.1
2008,80,Northern B&R,NPP,0.7,0.7,0.7
2008,80,Northern B&R,Rh,0.8,0.8,0.8
2008,81,Sonoran B&R,LULCC,0.6,0.6,0.6
2008,81,Sonoran B&R,NECB,0.2,0.2,0.2
2008,81,Sonoran B&R,NEP,0.8,0.8,0.8
2008,81,Sonoran B&R,NPP,2.3,2.3,2.3
2008,81,Sonoran B&R,Rh,1.4,1.4,1.4
2009,1,Coast Range,LULCC,2.7,2.5,2.9
2009,1,Coast Range,NECB,-1.5,-1.7,-1.3
2009,1,Coast Range,NEP,1.2,1.2,1.2
2009,1,Coast Range,NPP,11.8,11.8,11.9
2009,1,Coast Range,Rh,10.7,10.6,10.7
2009,4,Cascades,LULCC,0.2,0.2,0.3
2009,4,Cascades,NECB,-0.1,-0.1,-0
2009,4,Cascades,NEP,0.1,0.1,0.1
2009,4,Cascades,NPP,1,1,1
2009,4,Cascades,Rh,0.8,0.8,0.8
2009,5,Sierra Nevada,LULCC,4.2,4,4.3
2009,5,Sierra Nevada,NECB,-1.1,-1.3,-0.9
2009,5,Sierra Nevada,NEP,3.1,3,3.1
2009,5,Sierra Nevada,NPP,19.6,19.6,19.7
2009,5,Sierra Nevada,Rh,16.6,16.5,16.6
2009,6,Oak Woodlands,LULCC,5.5,5.4,5.8
2009,6,Oak Woodlands,NECB,-4.9,-5.1,-4.7
2009,6,Oak Woodlands,NEP,0.7,0.6,0.7
2009,6,Oak Woodlands,NPP,31.9,31.8,31.9
2009,6,Oak Woodlands,Rh,31.2,31.2,31.2
2009,7,Central Valley,LULCC,12.3,11.9,12.7
2009,7,Central Valley,NECB,-0.4,-0.9,-0.1
2009,7,Central Valley,NEP,11.9,11.8,12
2009,7,Central Valley,NPP,25,24.9,25.2
2009,7,Central Valley,Rh,13.2,13.2,13.2
2009,8,SoCal Mtns.,LULCC,2.1,2,2.2
2009,8,SoCal Mtns.,NECB,-3,-3.1,-2.9
2009,8,SoCal Mtns.,NEP,-0.9,-1,-0.9
2009,8,SoCal Mtns.,NPP,5,5,5
2009,8,SoCal Mtns.,Rh,5.9,5.9,6
2009,9,East Cascades,LULCC,1.9,1.8,2.1
2009,9,East Cascades,NECB,-1.4,-1.5,-1.3
2009,9,East Cascades,NEP,0.6,0.6,0.6
2009,9,East Cascades,NPP,6.7,6.7,6.7
2009,9,East Cascades,Rh,6.1,6.1,6.2
2009,13,Central B&R,LULCC,0.2,0.2,0.2
2009,13,Central B&R,NECB,-0,-0,-0
2009,13,Central B&R,NEP,0.2,0.2,0.2
2009,13,Central B&R,NPP,1.8,1.8,1.8
2009,13,Central B&R,Rh,1.6,1.6,1.6
2009,14,Mojave B&R,LULCC,0.2,0.2,0.2
2009,14,Mojave B&R,NECB,-2.6,-2.6,-2.6
2009,14,Mojave B&R,NEP,-2.4,-2.4,-2.4
2009,14,Mojave B&R,NPP,2.8,2.8,2.8
2009,14,Mojave B&R,Rh,5.2,5.2,5.2
2009,78,Klamath Mtns.,LULCC,5.8,5.5,6.1
2009,78,Klamath Mtns.,NECB,-3.2,-3.5,-2.9
2009,78,Klamath Mtns.,NEP,2.6,2.6,2.7
2009,78,Klamath Mtns.,NPP,25.1,25.1,25.2
2009,78,Klamath Mtns.,Rh,22.5,22.5,22.5
2009,80,Northern B&R,LULCC,0.2,0.2,0.2
2009,80,Northern B&R,NECB,-0,-0,-0
2009,80,Northern B&R,NEP,0.1,0.1,0.2
2009,80,Northern B&R,NPP,0.9,0.9,0.9
2009,80,Northern B&R,Rh,0.8,0.8,0.8
2009,81,Sonoran B&R,LULCC,0.4,0.3,0.4
2009,81,Sonoran B&R,NECB,-1,-1,-0.9
2009,81,Sonoran B&R,NEP,-0.6,-0.6,-0.6
2009,81,Sonoran B&R,NPP,0.8,0.8,0.8
2009,81,Sonoran B&R,Rh,1.4,1.4,1.4
2010,1,Coast Range,LULCC,2.3,2.1,2.5
2010,1,Coast Range,NECB,2.3,2.1,2.4
2010,1,Coast Range,NEP,4.5,4.5,4.6
2010,1,Coast Range,NPP,14.8,14.8,14.9
2010,1,Coast Range,Rh,10.3,10.3,10.3
2010,4,Cascades,LULCC,0.2,0.1,0.2
