Timestep,EcoregionID,EcoregionName,LULC,Mean,Lower,Upper
2002,81,Sonoran B&R,Forest,217.70625,216,219
2002,81,Sonoran B&R,Grassland,283.8796875,283,285
2002,81,Sonoran B&R,Shrubland,17350.73875,17343,17358
2002,81,Sonoran B&R,Water,1048,1048,1048
2002,81,Sonoran B&R,Wetland,84.7034375,83,86
2003,1,Coast Range,Agriculture,270.281875,266,275
2003,1,Coast Range,Barren,58,58,58
2003,1,Coast Range,Developed,695.3096875,691,700
2003,1,Coast Range,Forest,11251.98,11247,11256
2003,1,Coast Range,Grassland,778.9225,776,782
2003,1,Coast Range,Shrubland,288.71,287,290
2003,1,Coast Range,Water,3499,3499,3499
2003,1,Coast Range,Wetland,113.7959375,113,114
2003,4,Cascades,Agriculture,11.318125,9,13
2003,4,Cascades,Barren,76,76,76
2003,4,Cascades,Developed,38.9059375,36,42
2003,4,Cascades,Forest,1287.9971875,1285,1290
2003,4,Cascades,Grassland,9.8003125,9,10
2003,4,Cascades,Shrubland,42.9784375,42,43
2003,4,Cascades,SnowIce,6,6,6
2003,4,Cascades,Water,1,1,1
2003,4,Cascades,Wetland,3,3,3
2003,5,Sierra Nevada,Agriculture,132.313125,130,136
2003,5,Sierra Nevada,Barren,3045,3045,3045
2003,5,Sierra Nevada,Developed,676.955625,671,684
2003,5,Sierra Nevada,Forest,43005.50875,42998,43012
2003,5,Sierra Nevada,Grassland,884.8884375,884,886
2003,5,Sierra Nevada,Shrubland,3109.5709375,3108,3111
2003,5,Sierra Nevada,SnowIce,10,10,10
2003,5,Sierra Nevada,Water,818,818,818
2003,5,Sierra Nevada,Wetland,161.763125,161,162
2003,6,Oak Woodlands,Agriculture,6615.5546875,6581.975,6649
2003,6,Oak Woodlands,Barren,1296,1296,1296
2003,6,Oak Woodlands,Developed,14977.0478125,14945,15009
2003,6,Oak Woodlands,Forest,36247.8859375,36227,36268
2003,6,Oak Woodlands,Grassland,29083.9209375,29052,29115
2003,6,Oak Woodlands,Shrubland,10862.2428125,10845,10879
2003,6,Oak Woodlands,Water,11315,11315,11315
2003,6,Oak Woodlands,Wetland,941.3478125,933,950
2003,7,Central Valley,Agriculture,32596.8028125,32561,32628
2003,7,Central Valley,Barren,305,305,305
2003,7,Central Valley,Developed,3927.1534375,3904,3953
2003,7,Central Valley,Forest,322.375625,318,327
2003,7,Central Valley,Grassland,7373.7946875,7348,7400
2003,7,Central Valley,Shrubland,139.024375,137,141
2003,7,Central Valley,Water,431,431,431
2003,7,Central Valley,Wetland,997.8490625,988,1007.0250000000001
2003,8,SoCal Mtns.,Agriculture,124.5453125,118,131
2003,8,SoCal Mtns.,Barren,148,148,148
2003,8,SoCal Mtns.,Developed,744.70375,737,754
2003,8,SoCal Mtns.,Forest,11752.02875,11747,11758
2003,8,SoCal Mtns.,Grassland,1819.845,1814,1825
2003,8,SoCal Mtns.,Shrubland,3213.0275,3206,3218
2003,8,SoCal Mtns.,Water,316,316,316
2003,8,SoCal Mtns.,Wetland,71.8496875,70,73
2003,9,East Cascades,Agriculture,1583.1815625,1576,1590
2003,9,East Cascades,Barren,169,169,169
2003,9,East Cascades,Developed,200.03625,199,202
2003,9,East Cascades,Forest,12175.385,12171,12180
2003,9,East Cascades,Grassland,2839.7265625,2835,2844
2003,9,East Cascades,Shrubland,2991.0625,2988,2994
2003,9,East Cascades,Water,534,534,534
2003,9,East Cascades,Wetland,163.608125,162,166
2003,13,Central B&R,Agriculture,190.9978125,189,193
2003,13,Central B&R,Barren,277,277,277
2003,13,Central B&R,Developed,123,123,123
2003,13,Central B&R,Forest,4670.026875,4669,4671
2003,13,Central B&R,Grassland,518.99375,518,520
2003,13,Central B&R,Shrubland,7035.984375,7035,7037
2003,13,Central B&R,Water,226,226,226
2003,13,Central B&R,Wetland,78.9971875,79,79
2003,14,Mojave B&R,Agriculture,428.5284375,416,442
2003,14,Mojave B&R,Barren,7493,7493,7493
2003,14,Mojave B&R,Developed,1238.5890625,1227,1251
2003,14,Mojave B&R,Forest,4600.553125,4597,4604
2003,14,Mojave B&R,Grassland,902.195625,894,911
2003,14,Mojave B&R,Shrubland,61772.1425,61758,61787
2003,14,Mojave B&R,Water,40,40,40
2003,14,Mojave B&R,Wetland,43.99125,43,45
2003,78,Klamath Mtns.,Agriculture,510.881875,505,517
2003,78,Klamath Mtns.,Barren,67,67,67
2003,78,Klamath Mtns.,Developed,400.86625,398,405
2003,78,Klamath Mtns.,Forest,28855.8384375,28852,28860
2003,78,Klamath Mtns.,Grassland,1392.5296875,1388,1398
2003,78,Klamath Mtns.,Shrubland,1528.8278125,1526,1531
2003,78,Klamath Mtns.,SnowIce,12,12,12
2003,78,Klamath Mtns.,Water,124,124,124
2003,78,Klamath Mtns.,Wetland,39.0559375,38,40
2003,80,Northern B&R,Agriculture,357.9428125,356,361
2003,80,Northern B&R,Barren,414,414,414
2003,80,Northern B&R,Developed,54.106875,54,55
2003,80,Northern B&R,Forest,1701.86625,1701,1703
2003,80,Northern B&R,Grassland,165.881875,165,167
2003,80,Northern B&R,Shrubland,3348.4865625,3347,3350
2003,80,Northern B&R,Water,303,303,303
2003,80,Northern B&R,Wetland,59.715625,58,61
2003,81,Sonoran B&R,Agriculture,2743.1628125,2732,2754
2003,81,Sonoran B&R,Barren,5807,5807,5807
2003,81,Sonoran B&R,Developed,761.5984375,754,770
2003,81,Sonoran B&R,Forest,217.3478125,215,219
2003,81,Sonoran B&R,Grassland,283.7759375,283,285
2003,81,Sonoran B&R,Shrubland,17336.253125,17325,17346
2003,81,Sonoran B&R,Water,1048,1048,1048
2003,81,Sonoran B&R,Wetland,83.861875,81,85
2004,1,Coast Range,Agriculture,270.1596875,266,275
2004,1,Coast Range,Barren,58,58,58
2004,1,Coast Range,Developed,695.909375,691,701
2004,1,Coast Range,Forest,11251.6390625,11246,11256
2004,1,Coast Range,Grassland,778.816875,775,782
2004,1,Coast Range,Shrubland,288.695,287,290
2004,1,Coast Range,Water,3499,3499,3499
2004,1,Coast Range,Wetland,113.78,113,114
2004,4,Cascades,Agriculture,11.09875,9,13
2004,4,Cascades,Barren,76,76,76
2004,4,Cascades,Developed,38.933125,36,42
2004,4,Cascades,Forest,1288.151875,1285,1291
2004,4,Cascades,Grassland,9.835,9,11
2004,4,Cascades,Shrubland,42.98125,42,43
2004,4,Cascades,SnowIce,6,6,6
2004,4,Cascades,Water,1,1,1
2004,4,Cascades,Wetland,3,3,3
2004,5,Sierra Nevada,Agriculture,132.6415625,130,137
2004,5,Sierra Nevada,Barren,3045,3045,3045
2004,5,Sierra Nevada,Developed,682.6378125,675,691
2004,5,Sierra Nevada,Forest,42999.7965625,42991,43008
2004,5,Sierra Nevada,Grassland,884.82,884,886
2004,5,Sierra Nevada,Shrubland,3109.403125,3108,3111
2004,5,Sierra Nevada,SnowIce,10,10,10
2004,5,Sierra Nevada,Water,818,818,818
2004,5,Sierra Nevada,Wetland,161.7009375,161,162
2004,6,Oak Woodlands,Agriculture,6592.71,6552,6631
2004,6,Oak Woodlands,Barren,1296,1296,1296
2004,6,Oak Woodlands,Developed,15083.6603125,15048,15122
2004,6,Oak Woodlands,Forest,36227.1534375,36204.975,36251
2004,6,Oak Woodlands,Grassland,29044.739375,29005,29081
2004,6,Oak Woodlands,Shrubland,10841.0171875,10821,10860
2004,6,Oak Woodlands,Water,11315,11315,11315
2004,6,Oak Woodlands,Wetland,938.7196875,929,948
2004,7,Central Valley,Agriculture,32549.3315625,32509,32588
2004,7,Central Valley,Barren,305,305,305
2004,7,Central Valley,Developed,4001.795625,3973,4031
2004,7,Central Valley,Forest,321.5321875,316,327
2004,7,Central Valley,Grassland,7348.629375,7318,7381
2004,7,Central Valley,Shrubland,139.3234375,136,142
2004,7,Central Valley,Water,431,431,431
2004,7,Central Valley,Wetland,996.3878125,984,1008
2004,8,SoCal Mtns.,Agriculture,123.7178125,116,131
2004,8,SoCal Mtns.,Barren,148,148,148
2004,8,SoCal Mtns.,Developed,751.0090625,742,762
2004,8,SoCal Mtns.,Forest,11750.064375,11744,11757
2004,8,SoCal Mtns.,Grassland,1818.006875,1811,1825
2004,8,SoCal Mtns.,Shrubland,3211.4159375,3205,3218
2004,8,SoCal Mtns.,Water,316,316,316
2004,8,SoCal Mtns.,Wetland,71.7859375,70,73
2004,9,East Cascades,Agriculture,1578.521875,1570,1587
2004,9,East Cascades,Barren,169,169,169
2004,9,East Cascades,Developed,200.060625,199,202
2004,9,East Cascades,Forest,12176.963125,12172,12182
2004,9,East Cascades,Grassland,2841.18875,2836,2847
2004,9,East Cascades,Shrubland,2991.94125,2988,2996
2004,9,East Cascades,Water,534,534,534
2004,9,East Cascades,Wetland,164.324375,162,167
2004,13,Central B&R,Agriculture,190.7721875,189,193
2004,13,Central B&R,Barren,277,277,277
2004,13,Central B&R,Developed,123,123,123
2004,13,Central B&R,Forest,4670.0709375,4669,4671
2004,13,Central B&R,Grassland,519.07125,518,520
2004,13,Central B&R,Shrubland,7036.0834375,7035,7038
2004,13,Central B&R,Water,226,226,226
2004,13,Central B&R,Wetland,79.0021875,79,79
2004,14,Mojave B&R,Agriculture,428.64875,415,444
2004,14,Mojave B&R,Barren,7493,7493,7493
2004,14,Mojave B&R,Developed,1251.5559375,1238,1266
2004,14,Mojave B&R,Forest,4599.9284375,4596,4604
2004,14,Mojave B&R,Grassland,898.4459375,888,908
2004,14,Mojave B&R,Shrubland,61763.420625,61747,61779
2004,14,Mojave B&R,Water,40,40,40
2004,14,Mojave B&R,Wetland,44.0003125,43,45
2004,78,Klamath Mtns.,Agriculture,505.7021875,498,513
2004,78,Klamath Mtns.,Barren,67,67,67
2004,78,Klamath Mtns.,Developed,400.8871875,398,405
2004,78,Klamath Mtns.,Forest,28857.390625,28853,28862
2004,78,Klamath Mtns.,Grassland,1395.301875,1389,1401
2004,78,Klamath Mtns.,Shrubland,1529.5409375,1527,1533
2004,78,Klamath Mtns.,SnowIce,12,12,12
2004,78,Klamath Mtns.,Water,124,124,124
2004,78,Klamath Mtns.,Wetland,39.1771875,38,40
2004,80,Northern B&R,Agriculture,358.1346875,356,361
2004,80,Northern B&R,Barren,414,414,414
2004,80,Northern B&R,Developed,54.106875,54,55
2004,80,Northern B&R,Forest,1701.8365625,1701,1703
2004,80,Northern B&R,Grassland,165.858125,165,167
2004,80,Northern B&R,Shrubland,3348.40125,3346,3350
2004,80,Northern B&R,Water,303,303,303
2004,80,Northern B&R,Wetland,59.6625,58,61
2004,81,Sonoran B&R,Agriculture,2747.9890625,2734,2761
2004,81,Sonoran B&R,Barren,5807,5807,5807
2004,81,Sonoran B&R,Developed,772.4090625,762,783
2004,81,Sonoran B&R,Forest,216.9703125,215,219
2004,81,Sonoran B&R,Grassland,283.6871875,282,284
2004,81,Sonoran B&R,Shrubland,17321.90125,17309,17334
2004,81,Sonoran B&R,Water,1048,1048,1048
2004,81,Sonoran B&R,Wetland,83.043125,80,85
2005,1,Coast Range,Agriculture,269.1634375,263,275
2005,1,Coast Range,Barren,58,58,58
2005,1,Coast Range,Developed,698.06,693,704
2005,1,Coast Range,Forest,11250.6759375,11244,11257
2005,1,Coast Range,Grassland,778.7575,775,783
2005,1,Coast Range,Shrubland,288.6453125,287,290
2005,1,Coast Range,Water,3499,3499,3499
2005,1,Coast Range,Wetland,113.6978125,112.97500000000001,114
2005,4,Cascades,Agriculture,11.0475,9,13
2005,4,Cascades,Barren,76,76,76
2005,4,Cascades,Developed,39.1725,36,43
2005,4,Cascades,Forest,1287.97875,1285,1291
2005,4,Cascades,Grassland,9.82625,9,11
2005,4,Cascades,Shrubland,42.975,42,43
2005,4,Cascades,SnowIce,6,6,6
2005,4,Cascades,Water,1,1,1
2005,4,Cascades,Wetland,3,3,3
2005,5,Sierra Nevada,Agriculture,132.303125,129,137
2005,5,Sierra Nevada,Barren,3045,3045,3045
2005,5,Sierra Nevada,Developed,686.3,678,694
2005,5,Sierra Nevada,Forest,42996.5928125,42987,43006
2005,5,Sierra Nevada,Grassland,884.7925,883,886
2005,5,Sierra Nevada,Shrubland,3109.3340625,3107,3111
2005,5,Sierra Nevada,SnowIce,10,10,10
2005,5,Sierra Nevada,Water,818,818,818
2005,5,Sierra Nevada,Wetland,161.6775,161,162
2005,6,Oak Woodlands,Agriculture,6557.6396875,6512,6606
2005,6,Oak Woodlands,Barren,1296,1296,1296
2005,6,Oak Woodlands,Developed,15197.6509375,15155,15239
2005,6,Oak Woodlands,Forest,36210.354375,36183,36236
2005,6,Oak Woodlands,Grassland,29003.164375,28958,29044
2005,6,Oak Woodlands,Shrubland,10821.3221875,10799,10841
2005,6,Oak Woodlands,Water,11315,11315,11315
2005,6,Oak Woodlands,Wetland,937.8684375,927,947
2005,7,Central Valley,Agriculture,32512.56375,32465,32556
2005,7,Central Valley,Barren,305,305,305
2005,7,Central Valley,Developed,4076.8978125,4043,4111
2005,7,Central Valley,Forest,320.774375,314,327
2005,7,Central Valley,Grassland,7312.32875,7275,7349
2005,7,Central Valley,Shrubland,139.2821875,136,143
2005,7,Central Valley,Water,431,431,431
2005,7,Central Valley,Wetland,995.153125,982,1009
2005,8,SoCal Mtns.,Agriculture,122.7178125,115,131
2005,8,SoCal Mtns.,Barren,148,148,148
2005,8,SoCal Mtns.,Developed,757.6546875,748,768
2005,8,SoCal Mtns.,Forest,11748.47625,11741,11755
2005,8,SoCal Mtns.,Grassland,1815.588125,1808,1823
2005,8,SoCal Mtns.,Shrubland,3209.7775,3202,3217
2005,8,SoCal Mtns.,Water,316,316,316
2005,8,SoCal Mtns.,Wetland,71.785625,70,73
2005,9,East Cascades,Agriculture,1573.3803125,1561,1586
2005,9,East Cascades,Barren,169,169,169
2005,9,East Cascades,Developed,200.5403125,199,203
2005,9,East Cascades,Forest,12178.9621875,12172,12186
2005,9,East Cascades,Grassland,2842.79875,2835,2851
2005,9,East Cascades,Shrubland,2992.6475,2987,2998
2005,9,East Cascades,Water,534,534,534
2005,9,East Cascades,Wetland,164.6709375,162,168
2005,13,Central B&R,Agriculture,190.845625,188,193
2005,13,Central B&R,Barren,277,277,277
2005,13,Central B&R,Developed,123.240625,123,124
2005,13,Central B&R,Forest,4669.93375,4669,4671
2005,13,Central B&R,Grassland,519.005625,518,520
2005,13,Central B&R,Shrubland,7035.97625,7035,7038
2005,13,Central B&R,Water,226,226,226
2005,13,Central B&R,Wetland,78.998125,79,79
2005,14,Mojave B&R,Agriculture,424.93875,408,441
2005,14,Mojave B&R,Barren,7493,7493,7493
2005,14,Mojave B&R,Developed,1265.4184375,1251,1282
2005,14,Mojave B&R,Forest,4599.5578125,4595,4604
2005,14,Mojave B&R,Grassland,897.4228125,886,908
2005,14,Mojave B&R,Shrubland,61754.6471875,61736,61775
2005,14,Mojave B&R,Water,40,40,40
2005,14,Mojave B&R,Wetland,44.015,43,45
2005,78,Klamath Mtns.,Agriculture,505.4090625,497,513
2005,78,Klamath Mtns.,Barren,67,67,67
2005,78,Klamath Mtns.,Developed,401.2515625,398,406
2005,78,Klamath Mtns.,Forest,28857.428125,28853,28862
2005,78,Klamath Mtns.,Grassland,1395.254375,1389,1401
2005,78,Klamath Mtns.,Shrubland,1529.4759375,1526,1533
2005,78,Klamath Mtns.,SnowIce,12,12,12
2005,78,Klamath Mtns.,Water,124,124,124
2005,78,Klamath Mtns.,Wetland,39.1809375,38,40
2005,80,Northern B&R,Agriculture,357.268125,352,363
2005,80,Northern B&R,Barren,414,414,414
2005,80,Northern B&R,Developed,54.1725,54,55
2005,80,Northern B&R,Forest,1702.108125,1700,1705
2005,80,Northern B&R,Grassland,165.9240625,164,168
2005,80,Northern B&R,Shrubland,3348.8721875,3345,3353
2005,80,Northern B&R,Water,303,303,303
2005,80,Northern B&R,Wetland,59.655,57,62
2005,81,Sonoran B&R,Agriculture,2748.8521875,2735,2763.025
2005,81,Sonoran B&R,Barren,5807,5807,5807
2005,81,Sonoran B&R,Developed,782.48,770,794
2005,81,Sonoran B&R,Forest,216.641875,214,219
2005,81,Sonoran B&R,Grassland,283.5653125,282,284
2005,81,Sonoran B&R,Shrubland,17311.5396875,17296,17325
2005,81,Sonoran B&R,Water,1048,1048,1048
2005,81,Sonoran B&R,Wetland,82.9209375,80,85
2006,1,Coast Range,Agriculture,268.1396875,262,275
2006,1,Coast Range,Barren,58,58,58
2006,1,Coast Range,Developed,700.201875,694,707
2006,1,Coast Range,Forest,11249.681875,11243,11257
2006,1,Coast Range,Grassland,778.74125,774,784
2006,1,Coast Range,Shrubland,288.599375,287,290
2006,1,Coast Range,Water,3499,3499,3499
2006,1,Coast Range,Wetland,113.6359375,112,115
2006,4,Cascades,Agriculture,11.005625,9,13
2006,4,Cascades,Barren,76,76,76
2006,4,Cascades,Developed,39.4134375,36,43
2006,4,Cascades,Forest,1287.8025,1284,1291
2006,4,Cascades,Grassland,9.80625,9,11
2006,4,Cascades,Shrubland,42.9721875,42,43
2006,4,Cascades,SnowIce,6,6,6
2006,4,Cascades,Water,1,1,1
2006,4,Cascades,Wetland,3,3,3
2006,5,Sierra Nevada,Agriculture,132.0865625,128,137
2006,5,Sierra Nevada,Barren,3045,3045,3045
2006,5,Sierra Nevada,Developed,689.9240625,681,699
2006,5,Sierra Nevada,Forest,42993.3003125,42983,43003
2006,5,Sierra Nevada,Grassland,884.7909375,883,886
2006,5,Sierra Nevada,Shrubland,3109.259375,3107,3111
2006,5,Sierra Nevada,SnowIce,10,10,10
2006,5,Sierra Nevada,Water,818,818,818
2006,5,Sierra Nevada,Wetland,161.63875,161,162
2006,6,Oak Woodlands,Agriculture,6522.8221875,6473,6575
2006,6,Oak Woodlands,Barren,1296,1296,1296
2006,6,Oak Woodlands,Developed,15310.916875,15263.975,15354
2006,6,Oak Woodlands,Forest,36193.381875,36165,36222
2006,6,Oak Woodlands,Grassland,28962.0175,28916,29006
2006,6,Oak Woodlands,Shrubland,10801.780625,10778,10828
