Timestep,Ecosystem,Mean,Lower,Upper
2068,Yes,4384.8,3956.3,4800.1
2069,No,54.1,35.2,68.4
2069,Yes,4365.1,3943.5,4810.8
2070,No,54.7,35.3,69.2
2070,Yes,4369.4,3955.4,4822.6
2071,No,55.2,35.5,70.2
2071,Yes,4374.3,3934.4,4856.6
2072,No,55.7,35.7,71.1
2072,Yes,4352.3,3917.7,4819.9
2073,No,56.3,35.8,71.9
2073,Yes,4326.7,3852,4798.8
2074,No,56.8,36,72.9
2074,Yes,4326.3,3892,4771.5
2075,No,57.3,36.1,73.7
2075,Yes,4331.5,3897.9,4798.3
2076,No,57.8,36.3,74.7
2076,Yes,4314.7,3876.2,4805.5
2077,No,58.3,36.4,75.6
2077,Yes,4327.7,3887.1,4815.3
2078,No,58.8,36.6,76.5
2078,Yes,4330.5,3877.7,4790.3
2079,No,59.3,36.7,77.6
2079,Yes,4315.6,3900.2,4779.9
2080,No,59.8,36.8,78.7
2080,Yes,4310.1,3869,4781.9
2081,No,60.2,36.9,79.5
2081,Yes,4292.1,3829.6,4779.2
2082,No,60.7,37.1,80.6
2082,Yes,4294.7,3782.1,4779.8
2083,No,61.2,37.2,81.6
2083,Yes,4278,3762.7,4774.9
2084,No,61.6,37.3,82.5
2084,Yes,4267.8,3755.8,4790.5
2085,No,62.1,37.4,83.4
2085,Yes,4261.3,3788.8,4746.2
2086,No,62.5,37.5,84.5
2086,Yes,4249.9,3781.8,4753
2087,No,63,37.6,85.5
2087,Yes,4256.6,3791.1,4789.5
2088,No,63.4,37.7,86.5
2088,Yes,4263.5,3744.2,4749.6
2089,No,63.8,37.8,87.4
2089,Yes,4276.2,3775.1,4773.3
2090,No,64.3,37.9,88.3
2090,Yes,4266.8,3800.1,4772.4
2091,No,64.7,38,89.3
2091,Yes,4246.5,3773,4757.1
2092,No,65.1,38.1,90.2
2092,Yes,4224.1,3722.4,4725.9
2093,No,65.6,38.2,91.2
2093,Yes,4205.8,3701.4,4715.6
2094,No,66,38.3,92.1
2094,Yes,4203.8,3663.5,4734.3
2095,No,66.4,38.3,93.1
2095,Yes,4197.7,3660.9,4774.1
2096,No,66.8,38.4,94.2
2096,Yes,4161.2,3659.4,4737.8
2097,No,67.2,38.6,95
2097,Yes,4164.5,3673.8,4735.1
2098,No,67.6,38.7,95.8
2098,Yes,4169.3,3680.7,4775.3
2099,No,68.1,38.8,97.1
2099,Yes,4165.2,3681.7,4723.5
2100,No,68.5,38.9,98
2100,Yes,4163,3681,4706.2
2101,No,68.9,39,98.9
2101,Yes,4161.5,3677.4,4689.7
