GCM,RCP,Timestep,TransitionGroup,GroupType,Mean,Lower,Upper
CanESM2,rcp45,2002,MANAGEMENT: Orchard Removal [Type],Type,11.0875,2.9750000000000014,21.029999999999973
CanESM2,rcp45,2002,URBANIZATION,Group,356.99,322,395
CanESM2,rcp45,2002,URBANIZATION: Annual->Developed [Type],Type,80.3475,63.975,96
CanESM2,rcp45,2002,URBANIZATION: Forest->Developed [Type],Type,63.16,49,77.02999999999997
CanESM2,rcp45,2002,URBANIZATION: Grassland->Developed [Type],Type,106.7675,87,124
CanESM2,rcp45,2002,URBANIZATION: Perennial->Developed [Type],Type,29.47,20,39
CanESM2,rcp45,2002,URBANIZATION: Shrubland->Developed [Type],Type,69.98,56,85
CanESM2,rcp45,2002,URBANIZATION: Wetland->Developed [Type],Type,7.283208020050125,3,13
CanESM2,rcp45,2003,AGRICULTURAL CHANGE,Group,106.0775,55,163.02999999999997
CanESM2,rcp45,2003,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,99.2825,48.975,155
CanESM2,rcp45,2003,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,6.881012658227848,1,17
CanESM2,rcp45,2003,AGRICULTURAL CONTRACTION,Group,101.0475,84,121
CanESM2,rcp45,2003,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,13.855,7,21
CanESM2,rcp45,2003,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,66.385,49,82
CanESM2,rcp45,2003,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,11.1825,5,17
CanESM2,rcp45,2003,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,7.0875,3,12
CanESM2,rcp45,2003,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,1.1544117647058822,1,2
CanESM2,rcp45,2003,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,2.209230769230769,1,4
CanESM2,rcp45,2003,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,1.1041666666666667,1,2
CanESM2,rcp45,2003,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1,1,1
CanESM2,rcp45,2003,AGRICULTURAL EXPANSION,Group,109.27,89.975,127.02999999999997
CanESM2,rcp45,2003,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,6.075949367088608,2,10
CanESM2,rcp45,2003,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,5.745,1.9750000000000014,10
CanESM2,rcp45,2003,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,35.1125,26,46.02999999999997
CanESM2,rcp45,2003,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,35.96,25,47
CanESM2,rcp45,2003,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,9.68,4,16
CanESM2,rcp45,2003,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,9.22,4,16
CanESM2,rcp45,2003,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,3.9076923076923076,1,8
CanESM2,rcp45,2003,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,3.848329048843188,1,7.360000000000014
CanESM2,rcp45,2003,FIRE,Group,3075.93,3070,3081
CanESM2,rcp45,2003,FIRE: Forest,Group,1877.2725,1874,1879
CanESM2,rcp45,2003,FIRE: Forest High Severity [Type],Type,191.8825,165,219
CanESM2,rcp45,2003,FIRE: Forest Low Severity [Type],Type,1259.2225,1220,1296.03
CanESM2,rcp45,2003,FIRE: Forest Medium Severity [Type],Type,426.1675,389,460
CanESM2,rcp45,2003,FIRE: Grassland,Group,364.7875,361,367
CanESM2,rcp45,2003,FIRE: Grassland High Severity [Type],Type,37.1875,26,51
CanESM2,rcp45,2003,FIRE: Grassland Low Severity [Type],Type,243.8575,226.97500000000002,262
CanESM2,rcp45,2003,FIRE: Grassland Medium Severity [Type],Type,83.7425,69,98
CanESM2,rcp45,2003,FIRE: High Severity,Group,313.6975,282.95,342.03
CanESM2,rcp45,2003,FIRE: Low Severity,Group,2062.5375,2014.95,2114.0299999999997
CanESM2,rcp45,2003,FIRE: Medium Severity,Group,699.695,654.975,744.03
CanESM2,rcp45,2003,FIRE: Shrubland,Group,833.87,830,838
CanESM2,rcp45,2003,FIRE: Shrubland High Severity [Type],Type,84.6275,66.97500000000001,100.02999999999997
CanESM2,rcp45,2003,FIRE: Shrubland Low Severity [Type],Type,559.4575,533,584.06
CanESM2,rcp45,2003,FIRE: Shrubland Medium Severity [Type],Type,189.785,164.925,212
CanESM2,rcp45,2003,HARVEST,Group,811.5725,753,868.03
CanESM2,rcp45,2003,INSECTS,Group,8387.8975,8338,8429
CanESM2,rcp45,2003,INSECTS: High Severity [Type],Type,23.58,22.975,24
CanESM2,rcp45,2003,INSECTS: Low Severity [Type],Type,8082.5075,8033,8123
CanESM2,rcp45,2003,INSECTS: Medium Severity [Type],Type,281.81,279,283
CanESM2,rcp45,2003,MANAGEMENT: Forest Clearcut [Type],Type,433.25,392.925,474
CanESM2,rcp45,2003,MANAGEMENT: Forest Thinning [Type],Type,378.3225,339.9,415.05999999999995
CanESM2,rcp45,2003,MANAGEMENT: Orchard Removal [Type],Type,11.405,3,21.029999999999973
CanESM2,rcp45,2003,URBANIZATION,Group,218.1975,190.95000000000002,245.02999999999997
CanESM2,rcp45,2003,URBANIZATION: Annual->Developed [Type],Type,58.4125,43,74
CanESM2,rcp45,2003,URBANIZATION: Forest->Developed [Type],Type,29.0325,19.975,40
CanESM2,rcp45,2003,URBANIZATION: Grassland->Developed [Type],Type,63.68,48,78
CanESM2,rcp45,2003,URBANIZATION: Perennial->Developed [Type],Type,26.2575,17,36
CanESM2,rcp45,2003,URBANIZATION: Shrubland->Developed [Type],Type,36.685,25,47
CanESM2,rcp45,2003,URBANIZATION: Wetland->Developed [Type],Type,4.171717171717172,1,8
CanESM2,rcp45,2004,AGRICULTURAL CHANGE,Group,99.9825,49,150
CanESM2,rcp45,2004,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,99.7725,49,149.02999999999997
CanESM2,rcp45,2004,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,1.135135135135135,1,2
CanESM2,rcp45,2004,AGRICULTURAL CONTRACTION,Group,100.695,78.92500000000001,121
CanESM2,rcp45,2004,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,13.875,6,20.029999999999973
CanESM2,rcp45,2004,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,67.91,51,85
CanESM2,rcp45,2004,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,11.3625,5,18
CanESM2,rcp45,2004,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,7.455,3,13
CanESM2,rcp45,2004,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,1.0740740740740742,1,2
CanESM2,rcp45,2004,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,1,1,1
CanESM2,rcp45,2004,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1,1,1
CanESM2,rcp45,2004,AGRICULTURAL EXPANSION,Group,109.7625,92,130.02999999999997
CanESM2,rcp45,2004,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,6.03,2,11
CanESM2,rcp45,2004,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,5.852130325814536,2,10
CanESM2,rcp45,2004,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,35.9125,24.975,46.02999999999997
CanESM2,rcp45,2004,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,35.4375,24,47
CanESM2,rcp45,2004,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,9.605,4,15
CanESM2,rcp45,2004,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,9.115,4,15
CanESM2,rcp45,2004,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,3.902061855670103,1,8
CanESM2,rcp45,2004,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,4.122448979591836,1,8
CanESM2,rcp45,2004,FIRE,Group,1030.2025,1028,1032
CanESM2,rcp45,2004,FIRE: Forest,Group,702.73,701,703
CanESM2,rcp45,2004,FIRE: Forest High Severity [Type],Type,70.3,57,84
CanESM2,rcp45,2004,FIRE: Forest Low Severity [Type],Type,471.485,448.975,495
CanESM2,rcp45,2004,FIRE: Forest Medium Severity [Type],Type,160.945,139,180.02999999999997
CanESM2,rcp45,2004,FIRE: Grassland,Group,156.6375,155,157
CanESM2,rcp45,2004,FIRE: Grassland High Severity [Type],Type,15.7825,9,23
CanESM2,rcp45,2004,FIRE: Grassland Low Severity [Type],Type,104.9,94,115
CanESM2,rcp45,2004,FIRE: Grassland Medium Severity [Type],Type,35.955,27,45
CanESM2,rcp45,2004,FIRE: High Severity,Group,103.4075,88,120
CanESM2,rcp45,2004,FIRE: Low Severity,Group,690.7675,666,716
CanESM2,rcp45,2004,FIRE: Medium Severity,Group,236.0275,211,258.03
CanESM2,rcp45,2004,FIRE: Shrubland,Group,170.835,169.975,172
CanESM2,rcp45,2004,FIRE: Shrubland High Severity [Type],Type,17.325,10,24
CanESM2,rcp45,2004,FIRE: Shrubland Low Severity [Type],Type,114.3825,102.97500000000001,125
CanESM2,rcp45,2004,FIRE: Shrubland Medium Severity [Type],Type,39.1275,29,50
CanESM2,rcp45,2004,HARVEST,Group,970.335,917,1025.06
CanESM2,rcp45,2004,INSECTS,Group,6283.2,6257.975,6307
CanESM2,rcp45,2004,INSECTS: High Severity [Type],Type,205.6675,202,208
CanESM2,rcp45,2004,INSECTS: Low Severity [Type],Type,5799.22,5773,5823
CanESM2,rcp45,2004,INSECTS: Medium Severity [Type],Type,278.3125,275,280
CanESM2,rcp45,2004,MANAGEMENT: Forest Clearcut [Type],Type,469.0475,424.975,511.03
CanESM2,rcp45,2004,MANAGEMENT: Forest Thinning [Type],Type,501.2875,460.975,542.03
CanESM2,rcp45,2004,MANAGEMENT: Orchard Removal [Type],Type,11.7625,3,22
CanESM2,rcp45,2004,URBANIZATION,Group,218.105,190.97500000000002,241
CanESM2,rcp45,2004,URBANIZATION: Annual->Developed [Type],Type,57.85,43,71
CanESM2,rcp45,2004,URBANIZATION: Forest->Developed [Type],Type,29.095,18,40.02999999999997
CanESM2,rcp45,2004,URBANIZATION: Grassland->Developed [Type],Type,63.65,50,79
CanESM2,rcp45,2004,URBANIZATION: Perennial->Developed [Type],Type,26.195,17,35.02999999999997
CanESM2,rcp45,2004,URBANIZATION: Shrubland->Developed [Type],Type,37.085,26,48.059999999999945
CanESM2,rcp45,2004,URBANIZATION: Wetland->Developed [Type],Type,4.251256281407035,1,8
CanESM2,rcp45,2005,AGRICULTURAL CHANGE,Group,98.0625,48,150.02999999999997
CanESM2,rcp45,2005,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,97.81,48,150.02999999999997
CanESM2,rcp45,2005,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,1.1477272727272727,1,2.3900000000000006
CanESM2,rcp45,2005,AGRICULTURAL CONTRACTION,Group,156.71,132.95,180
CanESM2,rcp45,2005,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,21.75,14,30
CanESM2,rcp45,2005,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,102.12,82,120.02999999999997
CanESM2,rcp45,2005,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,19.5325,11.975000000000001,28
CanESM2,rcp45,2005,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,13.24,7,21.029999999999973
CanESM2,rcp45,2005,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,1,1,1
CanESM2,rcp45,2005,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,1.105263157894737,1,2
CanESM2,rcp45,2005,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,1,1,1
CanESM2,rcp45,2005,AGRICULTURAL EXPANSION,Group,158.7375,133,184
CanESM2,rcp45,2005,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,8.3,3,14
CanESM2,rcp45,2005,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,8.2975,3,14
CanESM2,rcp45,2005,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,56.3125,43,71
CanESM2,rcp45,2005,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,55.8025,39.975,71
CanESM2,rcp45,2005,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,9.315,4,16
CanESM2,rcp45,2005,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,9.395,4,15
CanESM2,rcp45,2005,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,5.653164556962025,2,10
CanESM2,rcp45,2005,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,5.7325,2,10
CanESM2,rcp45,2005,FIRE,Group,839.7525,836,842
CanESM2,rcp45,2005,FIRE: Forest,Group,272.76,271,273
CanESM2,rcp45,2005,FIRE: Forest High Severity [Type],Type,28.245,19.975,38
CanESM2,rcp45,2005,FIRE: Forest Low Severity [Type],Type,182.8675,168,197
CanESM2,rcp45,2005,FIRE: Forest Medium Severity [Type],Type,61.6475,48,73.02999999999997
CanESM2,rcp45,2005,FIRE: Grassland,Group,225.685,223,228
CanESM2,rcp45,2005,FIRE: Grassland High Severity [Type],Type,22.9725,15,32
CanESM2,rcp45,2005,FIRE: Grassland Low Severity [Type],Type,151.1375,138,164
CanESM2,rcp45,2005,FIRE: Grassland Medium Severity [Type],Type,51.575,39,65
CanESM2,rcp45,2005,FIRE: High Severity,Group,86.425,71.975,102
CanESM2,rcp45,2005,FIRE: Low Severity,Group,562.4875,536,590
CanESM2,rcp45,2005,FIRE: Medium Severity,Group,190.84,167,215.02999999999997
CanESM2,rcp45,2005,FIRE: Shrubland,Group,341.3075,339,342.03
CanESM2,rcp45,2005,FIRE: Shrubland High Severity [Type],Type,35.2075,22,47
CanESM2,rcp45,2005,FIRE: Shrubland Low Severity [Type],Type,228.4825,213,246.02999999999997
CanESM2,rcp45,2005,FIRE: Shrubland Medium Severity [Type],Type,77.6175,62.975,93
CanESM2,rcp45,2005,HARVEST,Group,860.66,807,915.03
CanESM2,rcp45,2005,INSECTS,Group,3785.1175,3766,3802
CanESM2,rcp45,2005,INSECTS: High Severity [Type],Type,31.2675,29,32
CanESM2,rcp45,2005,INSECTS: Low Severity [Type],Type,3721.2,3702.975,3738
CanESM2,rcp45,2005,INSECTS: Medium Severity [Type],Type,32.65,31,33
CanESM2,rcp45,2005,MANAGEMENT: Forest Clearcut [Type],Type,530.2175,486.97499999999997,581
CanESM2,rcp45,2005,MANAGEMENT: Forest Thinning [Type],Type,330.4425,295.975,363
CanESM2,rcp45,2005,MANAGEMENT: Orchard Removal [Type],Type,11.06516290726817,3,22
CanESM2,rcp45,2005,URBANIZATION,Group,227.125,202.97500000000002,254.02999999999997
CanESM2,rcp45,2005,URBANIZATION: Annual->Developed [Type],Type,60.5,46,74
CanESM2,rcp45,2005,URBANIZATION: Forest->Developed [Type],Type,27.08,17,37
CanESM2,rcp45,2005,URBANIZATION: Grassland->Developed [Type],Type,67.9825,52,83.02999999999997
CanESM2,rcp45,2005,URBANIZATION: Perennial->Developed [Type],Type,27.2775,18,36
CanESM2,rcp45,2005,URBANIZATION: Shrubland->Developed [Type],Type,40.1425,29,51
CanESM2,rcp45,2005,URBANIZATION: Wetland->Developed [Type],Type,4.184343434343434,1,8
CanESM2,rcp45,2006,AGRICULTURAL CHANGE,Group,100.3,48.975,152.02999999999997
CanESM2,rcp45,2006,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,100.085,48.95,152
CanESM2,rcp45,2006,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,1.1025641025641026,1,2
CanESM2,rcp45,2006,AGRICULTURAL CONTRACTION,Group,155.995,131.975,183.02999999999997
CanESM2,rcp45,2006,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,21.365,13.975000000000001,30
CanESM2,rcp45,2006,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,101.635,83,121
CanESM2,rcp45,2006,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,19.295,12,28
CanESM2,rcp45,2006,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,13.6,7,21
CanESM2,rcp45,2006,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,1,1,1
CanESM2,rcp45,2006,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,1.0333333333333334,1,1.129999999999999
CanESM2,rcp45,2006,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,1,1,1
CanESM2,rcp45,2006,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1,1,1
CanESM2,rcp45,2006,AGRICULTURAL EXPANSION,Group,161.365,139,185
CanESM2,rcp45,2006,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,8.605,3,14
CanESM2,rcp45,2006,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,8.805,4,14.029999999999973
CanESM2,rcp45,2006,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,56.9475,41,72.02999999999997
CanESM2,rcp45,2006,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,56.1825,43,71
CanESM2,rcp45,2006,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,9.76,4,15
CanESM2,rcp45,2006,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,9.6525,5,16
CanESM2,rcp45,2006,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,5.824120603015075,2,11
CanESM2,rcp45,2006,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,5.6175,1,10
CanESM2,rcp45,2006,FIRE,Group,2800.0575,2796,2804.0299999999997
CanESM2,rcp45,2006,FIRE: Forest,Group,1942.8825,1942,1944
CanESM2,rcp45,2006,FIRE: Forest High Severity [Type],Type,196.965,172.975,220
CanESM2,rcp45,2006,FIRE: Forest Low Severity [Type],Type,1302.2925,1260.975,1341
CanESM2,rcp45,2006,FIRE: Forest Medium Severity [Type],Type,443.625,407,477
CanESM2,rcp45,2006,FIRE: Grassland,Group,324.6075,321,328
CanESM2,rcp45,2006,FIRE: Grassland High Severity [Type],Type,33.515,23,43.02999999999997
CanESM2,rcp45,2006,FIRE: Grassland Low Severity [Type],Type,216.885,199,233.02999999999997
CanESM2,rcp45,2006,FIRE: Grassland Medium Severity [Type],Type,74.2075,61,88
CanESM2,rcp45,2006,FIRE: High Severity,Group,284.175,254,310.03
CanESM2,rcp45,2006,FIRE: Low Severity,Group,1875.645,1826.95,1919.06
CanESM2,rcp45,2006,FIRE: Medium Severity,Group,640.2375,600.9749999999999,684.03
CanESM2,rcp45,2006,FIRE: Shrubland,Group,532.5675,531,534
CanESM2,rcp45,2006,FIRE: Shrubland High Severity [Type],Type,53.695,41.925000000000004,66
CanESM2,rcp45,2006,FIRE: Shrubland Low Severity [Type],Type,356.4675,337.97499999999997,377
CanESM2,rcp45,2006,FIRE: Shrubland Medium Severity [Type],Type,122.405,104,141
CanESM2,rcp45,2006,HARVEST,Group,810.1625,750.975,863.03
CanESM2,rcp45,2006,INSECTS,Group,1454.7025,1443,1465
CanESM2,rcp45,2006,INSECTS: High Severity [Type],Type,16.905,16,17
CanESM2,rcp45,2006,INSECTS: Low Severity [Type],Type,1428.8925,1417.975,1439
CanESM2,rcp45,2006,INSECTS: Medium Severity [Type],Type,8.905,8,9
CanESM2,rcp45,2006,MANAGEMENT: Forest Clearcut [Type],Type,422.6775,382.97499999999997,459
CanESM2,rcp45,2006,MANAGEMENT: Forest Thinning [Type],Type,387.485,346.925,430
CanESM2,rcp45,2006,MANAGEMENT: Orchard Removal [Type],Type,12.1,3,23
CanESM2,rcp45,2006,URBANIZATION,Group,227.2925,197.97500000000002,253.05999999999995
CanESM2,rcp45,2006,URBANIZATION: Annual->Developed [Type],Type,60.615,47,76
CanESM2,rcp45,2006,URBANIZATION: Forest->Developed [Type],Type,26.8875,17,37
CanESM2,rcp45,2006,URBANIZATION: Grassland->Developed [Type],Type,68.18,52,83
CanESM2,rcp45,2006,URBANIZATION: Perennial->Developed [Type],Type,27.31,18,38
CanESM2,rcp45,2006,URBANIZATION: Shrubland->Developed [Type],Type,40.2625,27.975,52
CanESM2,rcp45,2006,URBANIZATION: Wetland->Developed [Type],Type,4.130434782608695,1,8
CanESM2,rcp45,2007,AGRICULTURAL CHANGE,Group,99.9175,49,155.02999999999997
CanESM2,rcp45,2007,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,99.645,49,155.02999999999997
CanESM2,rcp45,2007,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,1.1354166666666667,1,2
CanESM2,rcp45,2007,AGRICULTURAL CONTRACTION,Group,258.95,227,288
CanESM2,rcp45,2007,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,31.265,21.975,42
CanESM2,rcp45,2007,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,176.7,152,204
CanESM2,rcp45,2007,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,33.6,23,44
CanESM2,rcp45,2007,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,17.06,10,24
CanESM2,rcp45,2007,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,1,1,1
CanESM2,rcp45,2007,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,1.1612903225806452,1,2
CanESM2,rcp45,2007,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,1,1,1
CanESM2,rcp45,2007,AGRICULTURAL EXPANSION,Group,189.865,165,214
CanESM2,rcp45,2007,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,12.7525,7,20.029999999999973
CanESM2,rcp45,2007,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,12.4675,6,19
CanESM2,rcp45,2007,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,53.9475,41,68.02999999999997
CanESM2,rcp45,2007,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,54.1525,41,67
CanESM2,rcp45,2007,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,21.8675,14,30
CanESM2,rcp45,2007,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,20.8025,12,30
CanESM2,rcp45,2007,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,7.045112781954887,2,13
CanESM2,rcp45,2007,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,6.8475,2,12
CanESM2,rcp45,2007,FIRE,Group,3916.1925,3905,3926
CanESM2,rcp45,2007,FIRE: Forest,Group,2615.4975,2610,2619
CanESM2,rcp45,2007,FIRE: Forest High Severity [Type],Type,266.53,236,292.03
CanESM2,rcp45,2007,FIRE: Forest Low Severity [Type],Type,1752.7675,1703,1798
CanESM2,rcp45,2007,FIRE: Forest Medium Severity [Type],Type,596.2,550,633.03
CanESM2,rcp45,2007,FIRE: Grassland,Group,314.6525,311,318
CanESM2,rcp45,2007,FIRE: Grassland High Severity [Type],Type,31.995,21.975,43
CanESM2,rcp45,2007,FIRE: Grassland Low Severity [Type],Type,211.34,195,226
CanESM2,rcp45,2007,FIRE: Grassland Medium Severity [Type],Type,71.3175,58,86
CanESM2,rcp45,2007,FIRE: High Severity,Group,398.3025,359.975,436
